UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2016,9,2,Attack of the fluffy bunnies / written by Andrea Beaty ; illustrated by Dan Santat.,NA,"Beaty, Andrea","Extraterrestrial beings Fiction, Camps Juvenile fiction, Twins Juvenile fiction, Brothers and sisters Fiction, Humorous stories","Amulet Books,",2010.
Physical,Horizon,BOOK,2016,10,3,Fluffy bunnies 2 : the Schnoz of Doom / written by Andrea Beaty ; illustrated by Dan Santat.,NA,"Beaty, Andrea","Extraterrestrial beings Juvenile fiction, Smell Juvenile fiction, Twins Juvenile fiction, Brothers and sisters Juvenile fiction, Extraterrestrial beings Fiction, Smell Fiction, Twins Fiction, Brothers and sisters Fiction, Humorous stories, Humorous fiction","Amulet Books,",[2015]
Physical,Horizon,BOOK,2016,10,55,"Ada Twist, scientist / by Andrea Beaty ; illustrated by David Roberts.",NA,"Beaty, Andrea","Curiosity Fiction, Scientists Fiction, Science Experiments Fiction, Perseverance Ethics Fiction, Stories in rhyme, Curiosity Juvenile fiction, Scientists Juvenile fiction, Science Experiments Juvenile fiction, Perseverance Ethics Juvenile fiction","Abrams Books for Young Readers,",2016.
Physical,Horizon,BOOK,2016,10,8,"Hush, Baby Ghostling / by Andrea Beaty ; and [illustrated by] Pascal Lemaitre.",NA,"Beaty, Andrea","Bedtime Juvenile fiction, Ghosts Fiction, Mother and child Juvenile fiction, Monsters Juvenile fiction","Margaret K. McElderry Books,",c2009.
Physical,Horizon,BOOK,2016,10,4,Artist Ted / by Andrea Beaty and Pascal Lemaitre [illustrator].,NA,"Beaty, Andrea","Artists Juvenile fiction, Schools Fiction, Imagination Fiction, Humorous stories","Margaret K. McElderry Books,",2012.
Physical,Horizon,BOOK,2016,10,7,Hide and sheep / by Andrea Beaty ; illustrated by Bill Mayer.,NA,"Beaty, Andrea","Sheep Fiction, Counting Fiction, Stories in rhyme Juvenile fiction","Margaret K. McElderry Books,",2011.
Digital,OverDrive,EBOOK,2016,10,2,"Ada Twist, Scientist",NA,Andrea Beaty,"Juvenile Literature, Picture Book Fiction",ABRAMS,2016
Physical,Horizon,BOOK,2017,2,11,Firefighter Ted / by Andrea Beaty ; and Pascal Lemaitre.,NA,"Beaty, Andrea","Fire fighters Juvenile fiction, Schools Fiction, Imagination Fiction, Humorous stories","Margaret K. McElderry Books,",2009.
Physical,Horizon,BOOK,2017,3,1,When giants come to play / written by Andrea Beaty ; illustrated by Kevin Hawkes.,NA,"Beaty, Andrea","Giants Juvenile fiction, Games Juvenile fiction","Abrams Books for Young Readers,",2006.
Digital,OverDrive,EBOOK,2017,3,2,"Ada Twist, Scientist",NA,Andrea Beaty,"Juvenile Fiction, Juvenile Literature, Picture Book Fiction",ABRAMS,2016
Physical,Horizon,BOOK,2017,3,1,Fluffy bunnies 2 : the Schnoz of Doom / written by Andrea Beaty ; illustrated by Dan Santat.,NA,"Beaty, Andrea","Extraterrestrial beings Juvenile fiction, Smell Juvenile fiction, Twins Juvenile fiction, Brothers and sisters Juvenile fiction, Extraterrestrial beings Fiction, Smell Fiction, Twins Fiction, Brothers and sisters Fiction, Humorous stories, Humorous fiction","Amulet Books,",[2015]
Physical,Horizon,BOOK,2017,3,6,Hide and sheep / by Andrea Beaty ; illustrated by Bill Mayer.,NA,"Beaty, Andrea","Sheep Fiction, Counting Fiction, Stories in rhyme Juvenile fiction","Margaret K. McElderry Books,",2011.
Physical,Horizon,BOOK,2017,2,2,"Hush, Baby Ghostling / by Andrea Beaty ; and [illustrated by] Pascal Lemaitre.",NA,"Beaty, Andrea","Bedtime Juvenile fiction, Ghosts Fiction, Mother and child Juvenile fiction, Monsters Juvenile fiction","Margaret K. McElderry Books,",c2009.
Physical,Horizon,BOOK,2017,2,7,Artist Ted / by Andrea Beaty and Pascal Lemaitre [illustrator].,NA,"Beaty, Andrea","Artists Juvenile fiction, Schools Fiction, Imagination Fiction, Humorous stories","Margaret K. McElderry Books,",2012.
Physical,Horizon,BOOK,2017,2,6,Happy birthday Madame Chapeau / words by Andrea Beatty ; pictures by David Roberts.,NA,"Beaty, Andrea","Hats Juvenile fiction, Millinery Juvenile fiction, Birthdays Juvenile fiction, Friendship Juvenile fiction","Abrams Books for Young Readers,",2014.
Digital,OverDrive,EBOOK,2017,2,1,"Rosie Revere, Engineer",NA,Andrea Beaty,"Juvenile Fiction, Picture Book Fiction",ABRAMS,2014
Digital,OverDrive,EBOOK,2017,3,3,"Rosie Revere, Engineer",NA,Andrea Beaty,"Juvenile Fiction, Picture Book Fiction",ABRAMS,2014
Physical,Horizon,BOOK,2017,2,6,Doctor Ted / by Andrea Beaty and [illustrator] Pascal Lemaître.,NA,"Beaty, Andrea","Physicians Juvenile fiction, Medical fiction, Imagination Fiction","Margaret K. McElderry Books,",2008.
Physical,Horizon,BOOK,2017,3,2,"Hush, Baby Ghostling / by Andrea Beaty ; and [illustrated by] Pascal Lemaitre.",NA,"Beaty, Andrea","Bedtime Juvenile fiction, Ghosts Fiction, Mother and child Juvenile fiction, Monsters Juvenile fiction","Margaret K. McElderry Books,",c2009.
Physical,Horizon,BOOK,2017,2,1,Dorko the magnificent / Andrea Beaty.,NA,"Beaty, Andrea","Magicians Juvenile fiction, Magic tricks Juvenile fiction, Grandmothers Juvenile fiction, Families Juvenile fiction, Humorous fiction, Family life Fiction, Humorous stories","Amulet Books,",2013.
Physical,Horizon,BOOK,2017,2,28,"Rosie Revere, engineer / by Andrea Beaty ; illustrated by David Roberts.",NA,"Beaty, Andrea","Stories in rhyme Juvenile fiction, Engineers Juvenile fiction, Inventions Juvenile fiction, Failure Psychology Juvenile fiction, Perseverance Ethics Juvenile fiction, Perseverance Ethics Fiction","Abrams Books for Young Readers,",2013.
Physical,Horizon,BOOK,2017,3,41,"Ada Twist, scientist / by Andrea Beaty ; illustrated by David Roberts.",NA,"Beaty, Andrea","Curiosity Fiction, Scientists Fiction, Science Experiments Fiction, Perseverance Ethics Fiction, Stories in rhyme, Curiosity Juvenile fiction, Scientists Juvenile fiction, Science Experiments Juvenile fiction, Perseverance Ethics Juvenile fiction","Abrams Books for Young Readers,",2016.
Physical,Horizon,BOOK,2017,3,23,"Iggy Peck, architect / by Andrea Beaty ; illustrated by David Roberts.",NA,"Beaty, Andrea","Building Juvenile fiction, Schools Juvenile fiction, School field trips Juvenile fiction, Stories in rhyme","Abrams Books for Young Readers,",2007.
Physical,Horizon,BOOK,2017,2,4,Attack of the fluffy bunnies / written by Andrea Beaty ; illustrated by Dan Santat.,NA,"Beaty, Andrea","Extraterrestrial beings Fiction, Camps Juvenile fiction, Twins Juvenile fiction, Brothers and sisters Fiction, Humorous stories","Amulet Books,",2010.
Digital,OverDrive,EBOOK,2017,3,1,"Iggy Peck, Architect",NA,Andrea Beaty,"Juvenile Fiction, Juvenile Literature, Picture Book Fiction",ABRAMS,2016
Physical,Horizon,BOOK,2017,3,7,Doctor Ted / by Andrea Beaty and [illustrator] Pascal Lemaître.,NA,"Beaty, Andrea","Physicians Juvenile fiction, Medical fiction, Imagination Fiction","Margaret K. McElderry Books,",2008.
Physical,Horizon,BOOK,2017,3,5,Attack of the fluffy bunnies / written by Andrea Beaty ; illustrated by Dan Santat.,NA,"Beaty, Andrea","Extraterrestrial beings Fiction, Camps Juvenile fiction, Twins Juvenile fiction, Brothers and sisters Fiction, Humorous stories","Amulet Books,",2010.
Physical,Horizon,BOOK,2017,3,26,"Rosie Revere, engineer / by Andrea Beaty ; illustrated by David Roberts.",NA,"Beaty, Andrea","Stories in rhyme Juvenile fiction, Engineers Juvenile fiction, Inventions Juvenile fiction, Failure Psychology Juvenile fiction, Perseverance Ethics Juvenile fiction, Perseverance Ethics Fiction","Abrams Books for Young Readers,",2013.
Physical,Horizon,BOOK,2017,2,1,Fluffy bunnies 2 : the Schnoz of Doom / written by Andrea Beaty ; illustrated by Dan Santat.,NA,"Beaty, Andrea","Extraterrestrial beings Juvenile fiction, Smell Juvenile fiction, Twins Juvenile fiction, Brothers and sisters Juvenile fiction, Extraterrestrial beings Fiction, Smell Fiction, Twins Fiction, Brothers and sisters Fiction, Humorous stories, Humorous fiction","Amulet Books,",[2015]
Digital,OverDrive,EBOOK,2017,3,1,Attack of the Fluffy Bunnies,NA,Andrea Beaty,"Juvenile Fiction, Science Fiction",ABRAMS,2013
Physical,Horizon,BOOK,2017,3,10,Firefighter Ted / by Andrea Beaty ; and Pascal Lemaitre.,NA,"Beaty, Andrea","Fire fighters Juvenile fiction, Schools Fiction, Imagination Fiction, Humorous stories","Margaret K. McElderry Books,",2009.
Physical,Horizon,BOOK,2017,3,2,Artist Ted / by Andrea Beaty and Pascal Lemaitre [illustrator].,NA,"Beaty, Andrea","Artists Juvenile fiction, Schools Fiction, Imagination Fiction, Humorous stories","Margaret K. McElderry Books,",2012.
Physical,Horizon,BOOK,2017,2,11,Hide and sheep / by Andrea Beaty ; illustrated by Bill Mayer.,NA,"Beaty, Andrea","Sheep Fiction, Counting Fiction, Stories in rhyme Juvenile fiction","Margaret K. McElderry Books,",2011.
Physical,Horizon,BOOK,2017,3,9,Happy birthday Madame Chapeau / words by Andrea Beatty ; pictures by David Roberts.,NA,"Beaty, Andrea","Hats Juvenile fiction, Millinery Juvenile fiction, Birthdays Juvenile fiction, Friendship Juvenile fiction","Abrams Books for Young Readers,",2014.
Physical,Horizon,BOOK,2017,2,1,When giants come to play / written by Andrea Beaty ; illustrated by Kevin Hawkes.,NA,"Beaty, Andrea","Giants Juvenile fiction, Games Juvenile fiction","Abrams Books for Young Readers,",2006.
Physical,Horizon,BOOK,2017,2,32,"Ada Twist, scientist / by Andrea Beaty ; illustrated by David Roberts.",NA,"Beaty, Andrea","Curiosity Fiction, Scientists Fiction, Science Experiments Fiction, Perseverance Ethics Fiction, Stories in rhyme, Curiosity Juvenile fiction, Scientists Juvenile fiction, Science Experiments Juvenile fiction, Perseverance Ethics Juvenile fiction","Abrams Books for Young Readers,",2016.
Digital,OverDrive,EBOOK,2017,2,2,"Ada Twist, Scientist",NA,Andrea Beaty,"Juvenile Fiction, Juvenile Literature, Picture Book Fiction",ABRAMS,2016
Physical,Horizon,BOOK,2017,2,23,"Iggy Peck, architect / by Andrea Beaty ; illustrated by David Roberts.",NA,"Beaty, Andrea","Building Juvenile fiction, Schools Juvenile fiction, School field trips Juvenile fiction, Stories in rhyme","Abrams Books for Young Readers,",2007.
